rosbagTimestamp,linear,x,y,z,angular,x,y,z
488545000000,,0.5,0.0,0.0,,0.0,0.0,-0.473684210526
488596000000,,0.5,0.0,0.0,,0.0,0.0,-0.473684210526
488645000000,,0.5,0.0,0.0,,0.0,0.0,-0.473684210526
488696000000,,0.5,0.0,0.0,,0.0,0.0,-0.342105263158
488746000000,,0.5,0.0,0.0,,0.0,0.0,-0.473684210526
488795000000,,0.5,0.0,0.0,,0.0,0.0,-0.342105263158
488846000000,,0.5,0.0,0.0,,0.0,0.0,-0.473684210526
488895000000,,0.5,0.0,0.0,,0.0,0.0,-0.342105263158
488946000000,,0.5,0.0,0.0,,0.0,0.0,-0.342105263158
488995000000,,0.5,0.0,0.0,,0.0,0.0,-0.342105263158
489045000000,,0.5,0.0,0.0,,0.0,0.0,-0.342105263158
489097000000,,0.5,0.0,0.0,,0.0,0.0,-0.342105263158
489142000000,,0.5,0.0,0.0,,0.0,0.0,-0.342105263158
489191000000,,0.5,0.0,0.0,,0.0,0.0,-0.210526315789
489243000000,,0.5,0.0,0.0,,0.0,0.0,-0.210526315789
489293000000,,0.5,0.0,0.0,,0.0,0.0,-0.210526315789
489350000000,,0.5,0.0,0.0,,0.0,0.0,-0.210526315789
489392000000,,0.5,0.0,0.0,,0.0,0.0,-0.210526315789
489442000000,,0.5,0.0,0.0,,0.0,0.0,-0.210526315789
489494000000,,0.5,0.0,0.0,,0.0,0.0,-0.210526315789
489545000000,,0.5,0.0,0.0,,0.0,0.0,-0.210526315789
489596000000,,0.5,0.0,0.0,,0.0,0.0,-0.210526315789
489645000000,,0.5,0.0,0.0,,0.0,0.0,-0.210526315789
489696000000,,0.5,0.0,0.0,,0.0,0.0,-0.210526315789
489747000000,,0.5,0.0,0.0,,0.0,0.0,-0.0789473684211
489796000000,,0.5,0.0,0.0,,0.0,0.0,-0.0789473684211
489843000000,,0.5,0.0,0.0,,0.0,0.0,-0.0789473684211
489893000000,,0.5,0.0,0.0,,0.0,0.0,-0.0789473684211
489943000000,,0.5,0.0,0.0,,0.0,0.0,-0.0789473684211
489999000000,,0.5,0.0,0.0,,0.0,0.0,-0.0789473684211
490050000000,,0.5,0.0,0.0,,0.0,0.0,-0.0789473684211
490107000000,,0.5,0.0,0.0,,0.0,0.0,-0.0789473684211
490149000000,,0.5,0.0,0.0,,0.0,0.0,-0.0789473684211
490193000000,,0.5,0.0,0.0,,0.0,0.0,-0.0789473684211
490242000000,,0.5,0.0,0.0,,0.0,0.0,0.0
490292000000,,0.5,0.0,0.0,,0.0,0.0,-0.210526315789
490343000000,,0.5,0.0,0.0,,0.0,0.0,0.0
490392000000,,0.5,0.0,0.0,,0.0,0.0,-0.0789473684211
490442000000,,0.5,0.0,0.0,,0.0,0.0,0.0
490497000000,,0.5,0.0,0.0,,0.0,0.0,-0.0789473684211
490547000000,,0.5,0.0,0.0,,0.0,0.0,0.0
490598000000,,0.5,0.0,0.0,,0.0,0.0,-0.210526315789
490648000000,,0.5,0.0,0.0,,0.0,0.0,-0.0789473684211
490698000000,,0.5,0.0,0.0,,0.0,0.0,-0.210526315789
490748000000,,0.5,0.0,0.0,,0.0,0.0,0.0
490797000000,,0.5,0.0,0.0,,0.0,0.0,-0.0789473684211
490848000000,,0.5,0.0,0.0,,0.0,0.0,0.0
490898000000,,0.5,0.0,0.0,,0.0,0.0,-0.210526315789
490947000000,,0.5,0.0,0.0,,0.0,0.0,0.0
490998000000,,0.5,0.0,0.0,,0.0,0.0,-0.210526315789
491048000000,,0.5,0.0,0.0,,0.0,0.0,0.0526315789474
491098000000,,0.5,0.0,0.0,,0.0,0.0,-0.210526315789
491143000000,,0.5,0.0,0.0,,0.0,0.0,0.0526315789474
491192000000,,0.5,0.0,0.0,,0.0,0.0,0.184210526316
491243000000,,0.5,0.0,0.0,,0.0,0.0,0.0526315789474
491292000000,,0.5,0.0,0.0,,0.0,0.0,0.0526315789474
491342000000,,0.5,0.0,0.0,,0.0,0.0,0.0526315789474
491412000000,,0.5,0.0,0.0,,0.0,0.0,0.0
491442000000,,0.5,0.0,0.0,,0.0,0.0,0.0
491492000000,,0.5,0.0,0.0,,0.0,0.0,0.0
491547000000,,0.5,0.0,0.0,,0.0,0.0,0.0526315789474
491597000000,,0.5,0.0,0.0,,0.0,0.0,0.0526315789474
491648000000,,0.5,0.0,0.0,,0.0,0.0,0.0526315789474
